NVIDIA_GeForce_RTX_3090
Final results:	16	4096	4096	DASPcuSPARSE	1.000000	723.496000	46.378186	46.378186
Final results:	16	4096	4096	DASP	1.000000	148.975873	225.234001	225.234001
Final results:	16	4096	4096	DASP2	1.000000	140.577887	238.689261	238.689261
Final results:	16	4096	4096	DASPcuSPARSE	0.900000	567.897000	59.085419	53.176875
Final results:	16	4096	4096	DASP	0.900000	140.660799	238.548567	214.693704
Final results:	16	4096	4096	DASP2	0.900000	132.949951	252.383936	227.145537
Final results:	16	4096	4096	DASPcuSPARSE	0.800000	450.452000	74.490583	59.592467
Final results:	16	4096	4096	DASP	0.800000	124.435588	269.653019	215.722419
Final results:	16	4096	4096	DASP2	0.800000	117.966143	284.441206	227.552968
Final results:	16	4096	4096	DASPcuSPARSE	0.700000	345.357000	97.158685	68.011078
Final results:	16	4096	4096	DASP	0.700000	115.327841	290.948237	203.663762
Final results:	16	4096	4096	DASP2	0.700000	108.999677	307.839739	215.487814
Final results:	16	4096	4096	DASPcuSPARSE	0.600000	256.537000	130.797632	78.478582
Final results:	16	4096	4096	DASP	0.600000	98.704991	339.946660	203.968004
Final results:	16	4096	4096	DASP2	0.600000	93.753089	357.902149	214.741298
Final results:	16	4096	4096	DASPcuSPARSE	0.500000	181.467000	184.906523	92.453261
Final results:	16	4096	4096	DASP	0.500000	85.958876	390.354476	195.177238
Final results:	16	4096	4096	DASP2	0.500000	82.258370	407.915111	203.957555
Final results:	16	4096	4096	DASPcuSPARSE	0.400000	121.432000	276.322814	110.529119
Final results:	16	4096	4096	DASP	0.400000	73.517985	456.411203	182.564470
Final results:	16	4096	4096	DASP2	0.400000	70.203810	477.957424	191.182958
Final results:	16	4096	4096	DASPcuSPARSE	0.300000	72.587000	462.265034	138.679516
Final results:	16	4096	4096	DASP	0.300000	57.029470	588.370046	176.511021
Final results:	16	4096	4096	DASP2	0.300000	54.754720	612.813510	183.844060
Final results:	16	4096	4096	DASPcuSPARSE	0.200000	38.015000	882.662949	176.532579
Final results:	16	4096	4096	DASP	0.200000	48.260448	695.278093	139.055610
Final results:	16	4096	4096	DASP2	0.200000	46.344319	724.024701	144.804932
Final results:	16	4096	4096	DASPcuSPARSE	0.100000	20.006000	1677.218434	167.721783
Final results:	16	4096	4096	DASP	0.100000	31.731392	1057.452256	105.745188
Final results:	16	4096	4096	DASP2	0.100000	30.540991	1098.668734	109.866834
Final results:	16	4096	4096	DASPcuSPARSE	0.050000	14.935000	2246.697824	112.334784
Final results:	16	4096	4096	DASP	0.050000	21.496129	1560.952317	78.047541
Final results:	16	4096	4096	DASP2	0.050000	20.609056	1628.140164	81.406931
Final results:	16	8192	8192	DASPcuSPARSE	1.000000	8581.859000	15.639703	15.639703
Final results:	16	8192	8192	DASP	1.000000	544.713065	246.400787	246.400787
Final results:	16	8192	8192	DASP2	1.000000	516.574881	259.822405	259.822405
Final results:	16	8192	8192	DASPcuSPARSE	0.900000	6836.932000	19.631280	17.668152
Final results:	16	8192	8192	DASP	0.900000	496.941379	270.087648	243.078876
Final results:	16	8192	8192	DASP2	0.900000	470.318429	285.376289	256.838653
Final results:	16	8192	8192	DASPcuSPARSE	0.800000	5138.852000	26.118232	20.894586
Final results:	16	8192	8192	DASP	0.800000	446.418783	300.654303	240.523446
Final results:	16	8192	8192	DASP2	0.800000	422.898858	317.375480	253.900388
Final results:	16	8192	8192	DASPcuSPARSE	0.700000	3614.597000	37.132142	25.992499
Final results:	16	8192	8192	DASP	0.700000	396.919644	338.148363	236.703850
Final results:	16	8192	8192	DASP2	0.700000	375.718920	357.229090	250.060359
Final results:	16	8192	8192	DASPcuSPARSE	0.600000	2107.500000	63.685755	38.211454
Final results:	16	8192	8192	DASP	0.600000	345.537695	388.431508	233.058914
Final results:	16	8192	8192	DASP2	0.600000	326.741398	410.776623	246.465984
Final results:	16	8192	8192	DASPcuSPARSE	0.500000	1377.334000	97.447480	48.723740
Final results:	16	8192	8192	DASP	0.500000	290.442084	462.115291	231.057645
Final results:	16	8192	8192	DASP2	0.500000	274.408543	489.116434	244.558217
Final results:	16	8192	8192	DASPcuSPARSE	0.400000	880.805000	152.380752	60.952302
Final results:	16	8192	8192	DASP	0.400000	235.504672	569.915352	227.966144
Final results:	16	8192	8192	DASP2	0.400000	222.080449	604.365349	241.746143
Final results:	16	8192	8192	DASPcuSPARSE	0.300000	502.973000	266.848773	80.054635
Final results:	16	8192	8192	DASP	0.300000	183.496668	731.445042	219.433521
Final results:	16	8192	8192	DASP2	0.300000	173.139362	775.200547	232.560173
Final results:	16	8192	8192	DASPcuSPARSE	0.200000	233.895000	573.837525	114.767507
Final results:	16	8192	8192	DASP	0.200000	133.606847	1004.572226	200.914448
Final results:	16	8192	8192	DASP2	0.200000	126.258085	1063.042640	212.608531
Final results:	16	8192	8192	DASPcuSPARSE	0.100000	68.587000	1956.897488	195.689737
Final results:	16	8192	8192	DASP	0.100000	82.485154	1627.174365	162.717427
Final results:	16	8192	8192	DASP2	0.100000	78.754370	1704.257536	170.425743
Final results:	16	8192	8192	DASPcuSPARSE	0.050000	33.259000	4035.531074	201.776542
Final results:	16	8192	8192	DASP	0.050000	49.509600	2710.943488	135.547166
Final results:	16	8192	8192	DASP2	0.050000	47.600800	2819.652788	140.982631
Final results:	16	8192	29568	DASPcuSPARSE	1.000000	114183.451000	4.242665	4.242665
Final results:	16	8192	29568	DASP	1.000000	1940.164731	249.691227	249.691227
Final results:	16	8192	29568	DASP2	1.000000	1833.862827	264.164857	264.164857
